index,distance,radius,x,y,z,vina_score
1,0.0,1.7598892326720632,23.24847851734452,33.420644805060924,-2.1178309101083377,-0.842
2,0.06000014659503572,1.7581924325716338,23.225482790108245,33.458926633852066,-2.0777595274929808,-0.721
3,0.33000841238267836,1.724899114963091,23.119483701951946,33.62856553362539,-1.8963999383134196,-0.016
4,0.570283482041468,1.6584656737244439,23.015465539068828,33.77179407944551,-1.7339255878693867,-0.538
5,0.8430898919364904,1.5823795517962937,22.935253122037516,33.96087319887028,-1.5543750600746735,1.148
6,1.0752515268377567,1.5292317800263853,22.876359588810953,34.129643344005956,-1.4062291368266677,1.305
7,1.3279542837690006,1.4163400249369635,22.824462441491484,34.32336325724483,-1.252482707029172,1.204
8,1.5440360320613096,1.3862071464144747,22.757647134315377,34.48987135808502,-1.1320580873427621,1.126
9,1.8043626663428376,1.3421847105813884,22.698887257237672,34.6961711926458,-0.9845534717459753,1.121
10,1.9926589999068263,1.3359016766183818,22.612919357417727,34.80866092701999,-0.8604120640907849,0.833
11,2.270600765887966,1.3286817788345906,22.460280452843033,34.98723918509534,-0.7118765604907142,0.628
