label,scoring,exhaustiveness,margin,min_box,rmsd
sc_vinardo_ex16_m1.5_min8.0,vinardo,16,1.5,8.0,1.0822915859157909
sc_vinardo_ex8_m0.5_min8.0,vinardo,8,0.5,8.0,1.3048783923506164
sc_vinardo_ex16_m0.5_min8.0,vinardo,16,0.5,8.0,1.3444322112283071
sc_vinardo_ex8_m1.5_min10.0,vinardo,8,1.5,10.0,1.4622734213626156
sc_vina_ex8_m0.5_min8.0,vina,8,0.5,8.0,1.5101015645625022
sc_vina_ex16_m1.5_min8.0,vina,16,1.5,8.0,1.5122080871439385
sc_vina_ex16_m1.5_min10.0,vina,16,1.5,10.0,1.888351085876091
sc_vinardo_ex16_m0.5_min10.0,vinardo,16,0.5,10.0,1.892138822478259
sc_vina_ex8_m1.5_min8.0,vina,8,1.5,8.0,1.9088865113555844
sc_vina_ex16_m1.0_min10.0,vina,16,1.0,10.0,1.9154561121693858
sc_vina_ex8_m1.0_min8.0,vina,8,1.0,8.0,1.9349107974575073
sc_vina_ex8_m0.5_min10.0,vina,8,0.5,10.0,1.9409957344560216
sc_vina_ex8_m1.0_min10.0,vina,8,1.0,10.0,2.025986056220526
sc_vinardo_ex16_m1.0_min10.0,vinardo,16,1.0,10.0,2.084695301476933
sc_vinardo_ex16_m1.5_min10.0,vinardo,16,1.5,10.0,3.014823775749344
sc_vina_ex16_m0.5_min8.0,vina,16,0.5,8.0,3.891991604186579
sc_vinardo_ex8_m1.0_min8.0,vinardo,8,1.0,8.0,4.441363665156961
sc_vinardo_ex8_m1.5_min8.0,vinardo,8,1.5,8.0,5.8354941924903185
sc_vina_ex16_m1.0_min8.0,vina,16,1.0,8.0,6.692813474607099
sc_vinardo_ex16_m1.0_min8.0,vinardo,16,1.0,8.0,9.394627383588483
sc_vinardo_ex8_m0.5_min10.0,vinardo,8,0.5,10.0,12.001127548742096
sc_vina_ex16_m0.5_min10.0,vina,16,0.5,10.0,18.523422568387808
sc_vinardo_ex8_m1.0_min10.0,vinardo,8,1.0,10.0,18.855896565640087
sc_vina_ex8_m1.5_min10.0,vina,8,1.5,10.0,25.694561380366306
